"id","participant_id","item_id","item","item_type","trial_index","correct_answer","response","is_correct","reaction_time","trial_ptr_id","condition","first_mention","recent_mention","knowledge_cue","start","end","is_start","is_end","passage_reading_time"
133,124,"3_fb_1_e_e_im",3,"critical",5,"sink","sink","True",4980,133,"False Belief","End","End","Implicit","sink","basket","True","False",8584.40000009537
136,111,"9_tb_1_e_s_im",9,"critical",5,"drawer","drawer","True",3606.29999999702,136,"True Belief","End","Start","Implicit","cupboard","drawer","False","True",18829.5
139,106,"9_tb_1_e_e_im",9,"critical",5,"drawer","gold","False",6666,139,"True Belief","End","End","Implicit","cupboard","drawer","False","False",705.099999904633
142,110,"1_fb_1_e_e_im",1,"critical",5,"box","box","True",13493.7999999821,142,"False Belief","End","End","Implicit","box","basket","True","False",12479.900000006
145,122,"3_tb_1_e_e_ex",3,"critical",5,"basket","basket","True",2914.5,145,"True Belief","End","End","Explicit","sink","basket","False","True",16071.8999998569
148,113,"11_fb_1_e_s_ex",11,"critical",5,"suitcase","suitcase","True",5732.89999999851,148,"False Belief","End","Start","Explicit","suitcase","backpack","True","False",21592.3999999985
151,149,"11_tb_1_e_e_im",11,"critical",5,"backpack","backpack","True",5716,151,"True Belief","End","End","Implicit","suitcase","backpack","False","True",14295
154,120,"3_tb_1_s_e_im",3,"critical",5,"basket","basket","True",10250.9000000358,154,"True Belief","Start","End","Implicit","sink","basket","False","True",28692
157,129,"8_tb_1_s_e_ex",8,"critical",5,"bedroom","bedroom","True",20667,157,"True Belief","Start","End","Explicit","hall","bedroom","False","True",14408
160,152,"9_tb_1_s_s_im",9,"critical",5,"drawer","cupboard","False",5682.5,160,"True Belief","Start","Start","Implicit","cupboard","drawer","True","False",13625.6999999881
163,136,"3_tb_1_e_s_im",3,"critical",5,"basket","basket.","False",6475,163,"True Belief","End","Start","Implicit","sink","basket","False","False",25096
166,115,"11_tb_1_e_e_ex",11,"critical",5,"backpack","backpack","True",11628.1000001431,166,"True Belief","End","End","Explicit","suitcase","backpack","False","True",33258.7999999523
169,156,"8_fb_1_s_e_im",8,"critical",5,"hall","hall","True",8069,169,"False Belief","Start","End","Implicit","hall","bedroom","True","False",27221
172,265,"4_fb_1_s_e_ex",4,"critical",5,"shed","shed","True",18687.1999999881,172,"False Belief","Start","End","Explicit","shed","garage","True","False",5996.89999997616
175,127,"2_tb_1_e_s_im",2,"critical",5,"fridge","fridge","True",7685.5,175,"True Belief","End","Start","Implicit","cupboard","fridge","False","True",21468.299999997
178,162,"9_tb_1_s_s_ex",9,"critical",5,"drawer","drawer","True",7371.19999999925,178,"True Belief","Start","Start","Explicit","cupboard","drawer","False","True",12213.4000000004
181,242,"9_tb_1_e_e_ex",9,"critical",5,"drawer","drawer","True",5346.20000004768,181,"True Belief","End","End","Explicit","cupboard","drawer","False","True",9125.89999997616
184,284,"7_tb_1_e_s_ex",7,"critical",5,"fridge","fridge","True",6526.80000001192,184,"True Belief","End","Start","Explicit","garage","fridge","False","True",13556.3999999762
187,189,"6_tb_1_e_s_im",6,"critical",5,"cabinet","cabinet","True",4715.7000002861,187,"True Belief","End","Start","Implicit","drawer","cabinet","False","True",24534.1999998093
190,128,"6_fb_1_s_e_ex",6,"critical",5,"drawer","drawer","True",5159.69999998808,190,"False Belief","Start","End","Explicit","drawer","cabinet","True","False",29671
193,114,"5_tb_1_e_e_ex",5,"critical",5,"study","study","True",4622.39999997616,193,"True Belief","End","End","Explicit","hall","study","False","True",21766.1999999881
196,168,"11_fb_1_e_e_ex",11,"critical",5,"suitcase","suitcase","True",9557.80000000075,196,"False Belief","End","End","Explicit","suitcase","backpack","True","False",17288
199,116,"2_tb_1_s_s_im",2,"critical",5,"fridge","refridgerator","False",14927.3999999985,199,"True Belief","Start","Start","Implicit","cupboard","fridge","False","False",22530.5
